Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 162, 36.0295, 49.8815, 49.7442, 5.3968, 10.7449, 10.6963, 19.6126, 39.1366, 39.0479
Test 162, 26.2914, 51.2015, 49.8202, 5.7220, 11.0752, 10.7064, 20.5694, 40.1262, 39.1137 
Train 163, 36.0467, 49.9047, 49.7693, 5.3981, 10.7645, 10.7329, 19.6220, 39.1402, 39.0364
Test 163, 26.2195, 51.2175, 49.9961, 5.6170, 11.0058, 10.7776, 20.6024, 40.2117, 39.2186 
Train 164, 36.0518, 49.9285, 49.8070, 5.3998, 10.7590, 10.7184, 19.6251, 39.1695, 39.0887
Test 164, 26.2735, 51.2718, 49.9965, 5.6774, 11.0348, 10.7148, 20.5961, 40.2370, 39.2817 
Train 165, 36.0482, 49.9017, 49.7653, 5.3894, 10.7492, 10.7197, 19.6297, 39.1524, 39.0456
Test 165, 26.1805, 51.1113, 49.8616, 5.6597, 11.0101, 10.7008, 20.5208, 40.1012, 39.1608 
Train 166, 36.0545, 49.8613, 49.6738, 5.3943, 10.7507, 10.7128, 19.6301, 39.1106, 38.9610
Test 166, 26.2092, 51.0951, 49.7717, 5.6133, 10.9651, 10.7036, 20.5959, 40.1300, 39.0682 
Train 167, 36.0437, 49.8536, 49.6722, 5.3931, 10.7485, 10.7107, 19.6244, 39.1051, 38.9615
Test 167, 26.1943, 51.0652, 49.7418, 5.6113, 10.9782, 10.7339, 20.5830, 40.0869, 39.0079 
Train 168, 36.0455, 49.8522, 49.6718, 5.3859, 10.7338, 10.6958, 19.6303, 39.1183, 38.9760
Test 168, 26.3550, 51.2656, 49.8212, 5.7538, 11.1312, 10.7547, 20.6012, 40.1345, 39.0665 
Train 169, 36.0425, 49.8497, 49.6667, 5.3889, 10.7472, 10.7166, 19.6275, 39.1025, 38.9501
Test 169, 26.1482, 51.0373, 49.7783, 5.6165, 10.9602, 10.6874, 20.5317, 40.0772, 39.0909 
Train 170, 35.9985, 49.8556, 49.7416, 5.3832, 10.7338, 10.7011, 19.6016, 39.1218, 39.0404
Test 170, 26.1545, 51.1437, 49.9783, 5.5825, 10.9471, 10.7292, 20.5720, 40.1966, 39.2492 
Train 171, 36.0294, 49.8379, 49.6635, 5.3843, 10.7315, 10.6945, 19.6219, 39.1063, 38.9689
Test 171, 26.3223, 51.2027, 49.7608, 5.7426, 11.0687, 10.6521, 20.5797, 40.1340, 39.1086 
Train 172, 36.0147, 49.8285, 49.6590, 5.3892, 10.7233, 10.6682, 19.6098, 39.1052, 38.9907
Test 172, 26.3235, 51.2422, 49.8375, 5.7288, 11.0837, 10.7097, 20.5947, 40.1586, 39.1278 
Train 173, 36.0125, 49.8128, 49.6359, 5.3825, 10.7278, 10.6906, 19.6124, 39.0851, 38.9453
Test 173, 26.2298, 51.1043, 49.7491, 5.6784, 11.0051, 10.6534, 20.5514, 40.0992, 39.0957 
Train 174, 36.0117, 49.7959, 49.6047, 5.3833, 10.7286, 10.6905, 19.6103, 39.0673, 38.9141
Test 174, 26.3830, 51.3265, 49.8870, 5.7608, 11.1227, 10.7239, 20.6222, 40.2038, 39.1631 
Train 175, 35.9854, 49.7989, 49.6473, 5.3770, 10.7257, 10.6973, 19.5982, 39.0732, 38.9500
Test 175, 26.1067, 50.9910, 49.7687, 5.6109, 10.9472, 10.6726, 20.4958, 40.0438, 39.0961 
Train 176, 36.0127, 49.7761, 49.5617, 5.3831, 10.7236, 10.6810, 19.6121, 39.0524, 38.8807
Test 176, 26.2863, 51.1496, 49.7267, 5.7114, 11.0386, 10.6545, 20.5749, 40.1110, 39.0723 
Train 177, 35.9502, 49.8245, 49.7447, 5.3751, 10.7181, 10.6860, 19.5771, 39.1065, 39.0587
Test 177, 26.1226, 50.9586, 49.6721, 5.5488, 10.8836, 10.6697, 20.5738, 40.0750, 39.0024 
Train 178, 35.9830, 49.7710, 49.5949, 5.3760, 10.7238, 10.6957, 19.5976, 39.0472, 38.8992
Test 178, 26.3027, 51.1599, 49.7145, 5.7568, 11.1018, 10.6899, 20.5458, 40.0581, 39.0246 
Train 179, 35.9563, 49.7453, 49.5799, 5.3756, 10.7026, 10.6539, 19.5797, 39.0427, 38.9260
Test 179, 26.1953, 51.1467, 49.9029, 5.5902, 10.9370, 10.6936, 20.6051, 40.2098, 39.2093 
Train 180, 35.9652, 49.7641, 49.6036, 5.3765, 10.7141, 10.6752, 19.5858, 39.0500, 38.9285
Test 180, 26.2163, 51.1758, 49.9189, 5.6292, 10.9961, 10.7338, 20.5871, 40.1797, 39.1851 
Train 181, 35.9640, 49.7747, 49.6283, 5.3696, 10.7104, 10.6815, 19.5909, 39.0643, 38.9468
Test 181, 26.2647, 51.2148, 49.9002, 5.6783, 11.0240, 10.6915, 20.5864, 40.1908, 39.2087 
Train 182, 35.9468, 49.7159, 49.5359, 5.3707, 10.7021, 10.6629, 19.5773, 39.0138, 38.8731
Test 182, 26.2048, 51.1239, 49.8384, 5.6107, 10.9486, 10.6759, 20.5941, 40.1753, 39.1625 
Train 183, 35.9534, 49.7506, 49.5997, 5.3668, 10.6925, 10.6514, 19.5840, 39.0581, 38.9483
Test 183, 26.3214, 51.1224, 49.6019, 5.7372, 11.0324, 10.5903, 20.5842, 40.0900, 39.0116 
Train 184, 35.9422, 49.7440, 49.5979, 5.3698, 10.7094, 10.6793, 19.5753, 39.0346, 38.9186
Test 184, 26.1634, 51.0335, 49.7402, 5.6114, 10.9506, 10.6784, 20.5520, 40.0829, 39.0618 
Train 185, 35.9461, 49.7307, 49.5690, 5.3672, 10.6995, 10.6645, 19.5790, 39.0312, 38.9045
Test 185, 26.1670, 51.0488, 49.7636, 5.6713, 11.0332, 10.7238, 20.4957, 40.0155, 39.0397 
Train 186, 35.9286, 49.7232, 49.5744, 5.3668, 10.7020, 10.6705, 19.5693, 39.0213, 38.9039
Test 186, 26.1900, 51.0802, 49.7803, 5.6057, 10.9670, 10.7226, 20.5843, 40.1132, 39.0577 
Train 187, 35.9384, 49.7227, 49.5627, 5.3658, 10.6980, 10.6644, 19.5756, 39.0247, 38.8983
Test 187, 26.2508, 51.0440, 49.5865, 5.7212, 11.0434, 10.6443, 20.5296, 40.0006, 38.9422 
Train 188, 35.9371, 49.7373, 49.5938, 5.3667, 10.6922, 10.6509, 19.5736, 39.0450, 38.9428
Test 188, 26.3073, 51.1792, 49.7439, 5.7547, 11.0801, 10.6508, 20.5526, 40.0991, 39.0931 
Train 189, 35.9119, 49.6977, 49.5509, 5.3638, 10.7032, 10.6787, 19.5584, 38.9944, 38.8722
Test 189, 26.2116, 51.0284, 49.6335, 5.6371, 10.9544, 10.6345, 20.5745, 40.0740, 38.9991 
Train 190, 35.9355, 49.7129, 49.5491, 5.3648, 10.6938, 10.6580, 19.5735, 39.0191, 38.8912
Test 190, 26.1019, 50.9323, 49.6608, 5.5743, 10.9218, 10.6948, 20.5276, 40.0106, 38.9660 
Train 191, 35.9186, 49.6625, 49.4700, 5.3650, 10.6926, 10.6552, 19.5624, 38.9698, 38.8148
Test 191, 26.2224, 51.1216, 49.7983, 5.6611, 10.9904, 10.6586, 20.5613, 40.1312, 39.1397 
Train 192, 35.9023, 49.6958, 49.5629, 5.3613, 10.6952, 10.6678, 19.5530, 39.0006, 38.8951
Test 192, 26.1865, 51.0867, 49.8005, 5.6212, 10.9234, 10.6044, 20.5653, 40.1634, 39.1961 
Train 193, 35.9328, 49.6935, 49.5167, 5.3620, 10.6904, 10.6568, 19.5731, 39.0031, 38.8599
Test 193, 26.2388, 51.0076, 49.5375, 5.7260, 11.0405, 10.6290, 20.5128, 39.9670, 38.9085 
Train 194, 35.9149, 49.6565, 49.4637, 5.3643, 10.6876, 10.6466, 19.5603, 38.9689, 38.8171
Test 194, 26.1415, 51.1001, 49.9174, 5.5635, 10.9123, 10.6976, 20.5780, 40.1879, 39.2198 
Train 195, 35.9062, 49.6472, 49.4614, 5.3570, 10.6703, 10.6266, 19.5594, 38.9769, 38.8348
Test 195, 26.0891, 50.9676, 49.7569, 5.5653, 10.9058, 10.6812, 20.5239, 40.0617, 39.0757 
Train 196, 35.9031, 49.6717, 49.5132, 5.3566, 10.6875, 10.6618, 19.5586, 38.9843, 38.8514
Test 196, 26.2685, 51.1154, 49.6937, 5.7554, 11.0802, 10.6497, 20.5131, 40.0352, 39.0440 
Train 197, 35.8825, 49.6654, 49.5281, 5.3575, 10.6686, 10.6222, 19.5439, 38.9968, 38.9059
Test 197, 26.2924, 51.0791, 49.5734, 5.7422, 11.0381, 10.5917, 20.5501, 40.0410, 38.9817 
Train 198, 35.8939, 49.6560, 49.4936, 5.3602, 10.6773, 10.6342, 19.5490, 38.9786, 38.8594
Test 198, 26.2188, 50.9780, 49.5184, 5.6765, 11.0017, 10.6504, 20.5423, 39.9763, 38.8680 
Train 199, 35.8927, 49.6183, 49.4256, 5.3535, 10.6670, 10.6271, 19.5520, 38.9513, 38.7985
Test 199, 26.2059, 50.9803, 49.5490, 5.6798, 10.9761, 10.5926, 20.5261, 40.0043, 38.9564 
Train 200, 35.8642, 49.6318, 49.4862, 5.3585, 10.6839, 10.6508, 19.5302, 38.9479, 38.8355
Test 200, 26.1881, 51.0748, 49.7734, 5.6839, 10.9921, 10.6164, 20.5042, 40.0827, 39.1570 
