Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s1 
Test 68, 43.0946, 68.4249, 50.6606, 6.9922, 13.7939, 13.6033, 36.1024, 54.6310, 37.0573 
Train 69, 25.3966, 50.4565, 50.1198, 6.7924, 13.5878, 13.5907, 18.6042, 36.8688, 36.5292
Test 69, 42.8893, 68.0714, 50.3641, 6.9854, 13.7863, 13.6019, 35.9039, 54.2850, 36.7622 
Train 70, 25.3806, 50.4881, 50.2151, 6.7888, 13.5743, 13.5711, 18.5918, 36.9138, 36.6440
Test 70, 42.9657, 68.1452, 50.3588, 6.9925, 13.7777, 13.5702, 35.9732, 54.3675, 36.7886 
Train 71, 25.3234, 50.2914, 49.9360, 6.7828, 13.5500, 13.5344, 18.5406, 36.7414, 36.4015
Test 71, 42.8526, 67.7916, 49.8780, 7.0105, 13.7920, 13.5629, 35.8421, 53.9996, 36.3151 
Train 72, 25.2721, 50.2499, 49.9555, 6.7819, 13.5600, 13.5563, 18.4902, 36.6899, 36.3993
Test 72, 42.8177, 67.8521, 50.0687, 7.0080, 13.7820, 13.5480, 35.8098, 54.0701, 36.5207 
Train 73, 25.2222, 50.1308, 49.8172, 6.7744, 13.5415, 13.5343, 18.4478, 36.5893, 36.2829
Test 73, 42.8570, 67.8367, 49.9595, 6.9688, 13.7578, 13.5780, 35.8882, 54.0790, 36.3815 
Train 74, 25.2348, 50.1924, 49.9152, 6.7726, 13.5312, 13.5171, 18.4622, 36.6612, 36.3981
Test 74, 42.6583, 67.6235, 49.9304, 6.9863, 13.7720, 13.5713, 35.6719, 53.8515, 36.3592 
Train 75, 25.2320, 50.1250, 49.7860, 6.7692, 13.5334, 13.5283, 18.4628, 36.5916, 36.2576
Test 75, 42.4355, 67.2506, 49.6302, 6.9556, 13.7192, 13.5272, 35.4799, 53.5314, 36.1030 
Train 76, 25.1814, 50.0218, 49.6807, 6.7670, 13.5352, 13.5364, 18.4144, 36.4866, 36.1443
Test 76, 42.4152, 67.3055, 49.7806, 6.9609, 13.7284, 13.5349, 35.4543, 53.5771, 36.2457 
Train 77, 25.0884, 49.8518, 49.5269, 6.7560, 13.5182, 13.5245, 18.3324, 36.3336, 36.0024
Test 77, 42.6193, 67.4461, 49.6536, 6.9601, 13.7323, 13.5444, 35.6592, 53.7138, 36.1092 
Train 78, 25.0809, 49.8660, 49.5702, 6.7563, 13.5291, 13.5457, 18.3247, 36.3369, 36.0245
Test 78, 42.8455, 67.6312, 49.5714, 6.9662, 13.7139, 13.4954, 35.8793, 53.9173, 36.0760 
Train 79, 25.1038, 49.9010, 49.5943, 6.7587, 13.5186, 13.5198, 18.3451, 36.3823, 36.0745
Test 79, 42.7256, 67.5416, 49.6321, 6.9519, 13.7234, 13.5429, 35.7737, 53.8182, 36.0892 
Train 80, 25.0959, 49.8763, 49.5608, 6.7628, 13.5094, 13.4931, 18.3331, 36.3669, 36.0677
Test 80, 42.8669, 67.6866, 49.6393, 6.9670, 13.7273, 13.5208, 35.9000, 53.9592, 36.1185 
Train 81, 25.0704, 49.7845, 49.4282, 6.7620, 13.5031, 13.4824, 18.3084, 36.2813, 35.9458
Test 81, 42.9751, 67.8031, 49.6561, 7.0229, 13.7888, 13.5318, 35.9522, 54.0143, 36.1244 
Train 82, 25.0717, 49.8794, 49.6154, 6.7583, 13.5158, 13.5149, 18.3134, 36.3636, 36.1005
Test 82, 42.7783, 67.7606, 49.9647, 6.9743, 13.7407, 13.5328, 35.8040, 54.0199, 36.4318 
Train 83, 25.0785, 49.7913, 49.4256, 6.7505, 13.5004, 13.4998, 18.3280, 36.2909, 35.9259
Test 83, 42.0182, 66.6991, 49.3616, 6.9498, 13.7473, 13.5949, 35.0684, 52.9518, 35.7667 
Train 84, 25.1703, 49.9874, 49.6341, 6.7550, 13.5084, 13.5069, 18.4153, 36.4790, 36.1273
Test 84, 42.4665, 67.4516, 49.9704, 7.2032, 14.0198, 13.6333, 35.2632, 53.4318, 36.3371 
Train 85, 25.1928, 50.1419, 49.8981, 6.7616, 13.5265, 13.5299, 18.4312, 36.6153, 36.3682
Test 85, 42.9216, 67.9093, 49.9753, 7.1352, 13.9195, 13.5686, 35.7864, 53.9898, 36.4067 
Train 86, 25.0526, 49.9340, 49.7628, 6.7549, 13.5069, 13.5041, 18.2977, 36.4271, 36.2587
Test 86, 43.1350, 68.0192, 49.7686, 6.9796, 13.7520, 13.5449, 36.1554, 54.2672, 36.2237 
Train 87, 24.9253, 49.5847, 49.3188, 6.7344, 13.4812, 13.4937, 18.1909, 36.1035, 35.8252
Test 87, 43.4353, 68.1746, 49.4787, 6.9394, 13.6998, 13.5208, 36.4959, 54.4748, 35.9579 
Train 88, 24.8370, 49.4286, 49.1832, 6.7353, 13.4705, 13.4705, 18.1017, 35.9580, 35.7127
Test 88, 43.3915, 68.0904, 49.3979, 6.9482, 13.6767, 13.4571, 36.4434, 54.4137, 35.9407 
Train 89, 24.8344, 49.3922, 49.1157, 6.7244, 13.4375, 13.4262, 18.1100, 35.9547, 35.6895
Test 89, 43.4145, 68.1789, 49.5287, 6.9506, 13.6538, 13.4064, 36.4639, 54.5251, 36.1224 
Train 90, 24.8318, 49.3998, 49.1360, 6.7271, 13.4256, 13.3971, 18.1048, 35.9742, 35.7389
Test 90, 43.4541, 68.2872, 49.6662, 6.9670, 13.6976, 13.4613, 36.4871, 54.5896, 36.2050 
Train 91, 24.7996, 49.4182, 49.2372, 6.7219, 13.4365, 13.4293, 18.0778, 35.9817, 35.8078
Test 91, 43.3568, 68.1556, 49.5976, 7.0086, 13.7451, 13.4730, 36.3482, 54.4105, 36.1247 
Train 92, 24.8199, 49.3467, 49.0537, 6.7210, 13.4406, 13.4392, 18.0989, 35.9061, 35.6144
Test 92, 43.8095, 68.6533, 49.6875, 7.0504, 13.8010, 13.5011, 36.7591, 54.8523, 36.1865 
Train 93, 24.7695, 49.2601, 48.9812, 6.7289, 13.4472, 13.4364, 18.0406, 35.8130, 35.5448
Test 93, 43.6342, 68.4785, 49.6886, 6.9665, 13.6815, 13.4301, 36.6677, 54.7970, 36.2586 
Train 94, 24.7481, 49.1438, 48.7914, 6.7185, 13.4170, 13.3971, 18.0297, 35.7268, 35.3944
Test 94, 43.0060, 67.4422, 48.8723, 6.9014, 13.6393, 13.4759, 36.1047, 53.8028, 35.3964 
Train 95, 24.7610, 49.1604, 48.7988, 6.7225, 13.4429, 13.4407, 18.0385, 35.7175, 35.3580
