Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 155, 28.3316, 55.1296, 53.5960, 5.7953, 10.9847, 10.3787, 22.5363, 44.1449, 43.2173 
Train 156, 37.4710, 57.5488, 61.1628, 5.9695, 11.8986, 11.8581, 20.9979, 45.6502, 49.3047
Test 156, 28.4629, 55.4245, 53.9232, 5.8672, 11.0826, 10.4308, 22.5957, 44.3419, 43.4925 
Train 157, 42.7669, 59.8812, 58.6298, 6.1764, 11.7464, 11.1401, 24.3899, 48.1348, 47.4897
Test 157, 28.7029, 55.8955, 54.3853, 6.1072, 11.3194, 10.4245, 22.5957, 44.5762, 43.9608 
Train 158, 41.2680, 60.1973, 61.5904, 5.6853, 11.5910, 11.8115, 23.7168, 48.6063, 49.7789
Test 158, 28.4401, 55.5182, 54.1561, 5.9111, 11.1103, 10.3983, 22.5290, 44.4079, 43.7578 
Train 159, 37.9409, 59.2548, 63.8035, 6.1880, 11.4602, 10.5443, 21.1650, 47.7946, 53.2591
Test 159, 28.2953, 55.5990, 54.6073, 5.8036, 11.0681, 10.5291, 22.4917, 44.5308, 44.0782 
Train 160, 40.5974, 59.6848, 61.2398, 6.0114, 11.8291, 11.6354, 23.0535, 47.8557, 49.6044
Test 160, 28.3042, 55.5624, 54.5165, 5.8134, 11.0177, 10.4085, 22.4908, 44.5448, 44.1081 
Train 161, 42.0621, 60.1772, 60.3603, 5.8790, 11.3659, 10.9739, 24.1180, 48.8112, 49.3865
Test 161, 28.2869, 55.5438, 54.5138, 5.6802, 10.8558, 10.3512, 22.6067, 44.6880, 44.1626 
Train 162, 41.3668, 60.9270, 62.7256, 5.9713, 11.5942, 11.2458, 23.5929, 49.3328, 51.4798
Test 162, 28.5967, 55.5971, 54.0008, 5.9920, 11.1705, 10.3570, 22.6047, 44.4266, 43.6438 
Train 163, 41.2006, 59.7911, 60.7172, 5.9072, 11.4891, 11.1638, 23.5254, 48.3021, 49.5534
Test 163, 28.2947, 55.3818, 54.1742, 5.7726, 10.9895, 10.4339, 22.5222, 44.3923, 43.7403 
Train 164, 45.4464, 62.9055, 61.1514, 6.1091, 11.7359, 11.2535, 26.2207, 51.1696, 49.8979
Test 164, 28.5572, 55.7698, 54.4252, 6.0292, 11.3259, 10.5933, 22.5280, 44.4439, 43.8319 
Train 165, 39.4452, 58.6985, 60.5861, 6.3392, 11.6734, 10.6683, 22.0662, 47.0252, 49.9178
Test 165, 28.4534, 55.8060, 54.7051, 5.9485, 11.2406, 10.5843, 22.5050, 44.5654, 44.1208 
Train 166, 36.1671, 55.9860, 59.8041, 5.9264, 11.4546, 11.0564, 20.1576, 44.5314, 48.7477
Test 166, 28.2848, 55.2540, 53.9384, 5.7674, 10.9908, 10.4467, 22.5174, 44.2632, 43.4917 
Train 167, 45.7873, 60.9863, 56.8559, 6.1110, 11.7678, 11.3135, 26.4473, 49.2185, 45.5424
Test 167, 28.6480, 55.7582, 54.2204, 6.1365, 11.4001, 10.5272, 22.5115, 44.3581, 43.6933 
Train 168, 44.5689, 61.1373, 58.9475, 5.8679, 11.6376, 11.5394, 25.7956, 49.4997, 47.4081
Test 168, 28.3782, 55.2312, 53.7059, 5.9380, 11.1666, 10.4573, 22.4403, 44.0646, 43.2486 
Train 169, 39.3495, 59.4095, 62.3320, 6.0448, 11.8146, 11.5396, 22.1988, 47.5950, 50.7924
Test 169, 28.7361, 56.0043, 54.5365, 6.0632, 11.3975, 10.6686, 22.6729, 44.6069, 43.8680 
Train 170, 39.4908, 59.2483, 61.9348, 5.8745, 11.5550, 11.3610, 22.4064, 47.6932, 50.5737
Test 170, 28.4444, 55.5733, 54.2578, 5.9253, 11.1819, 10.5132, 22.5191, 44.3915, 43.7447 
Train 171, 41.0176, 60.8348, 63.0917, 5.8462, 11.7230, 11.7537, 23.4427, 49.1117, 51.3381
Test 171, 28.3236, 55.5408, 54.4345, 5.7524, 10.9633, 10.4217, 22.5711, 44.5775, 44.0128 
Train 172, 42.1145, 59.3612, 58.6490, 5.9014, 11.3418, 10.8808, 24.1353, 48.0194, 47.7682
Test 172, 28.4326, 55.7301, 54.5952, 5.9069, 11.1350, 10.4562, 22.5257, 44.5952, 44.1390 
Train 173, 38.3241, 59.7532, 64.3485, 6.1024, 11.6473, 11.0899, 21.4766, 48.1059, 53.2586
Test 173, 28.5127, 55.9878, 54.9502, 5.9577, 11.2340, 10.5525, 22.5549, 44.7538, 44.3977 
