Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 96, 28.0062, 54.7440, 53.4757, 5.8412, 11.3306, 10.9787, 22.1650, 43.4134, 42.4969 
Train 97, 42.1029, 62.2284, 64.0782, 6.3712, 12.0389, 11.3353, 23.8180, 50.1895, 52.7429
Test 97, 28.3260, 55.0944, 53.5367, 6.0301, 11.4222, 10.7842, 22.2959, 43.6722, 42.7525 
Train 98, 47.5131, 63.3576, 59.3268, 6.0684, 11.6373, 11.1376, 27.6257, 51.7203, 48.1892
Test 98, 28.0493, 54.7677, 53.4368, 5.8549, 11.1432, 10.5767, 22.1944, 43.6244, 42.8601 
Train 99, 43.4354, 60.9951, 60.1502, 5.9020, 11.4384, 11.0727, 25.0180, 49.5567, 49.0775
Test 99, 28.2449, 54.9427, 53.3956, 5.9857, 11.2384, 10.5054, 22.2592, 43.7043, 42.8902 
Train 100, 42.9218, 64.3396, 67.3975, 6.0929, 11.7877, 11.3896, 24.5480, 52.5520, 56.0079
Test 100, 27.9862, 54.5407, 53.1090, 5.7434, 10.9762, 10.4655, 22.2428, 43.5645, 42.6434 
Train 101, 42.0853, 60.0428, 59.8283, 6.2258, 11.7330, 11.0143, 23.9028, 48.3098, 48.8141
Test 101, 27.9819, 54.6545, 53.3452, 5.7770, 10.9966, 10.4391, 22.2049, 43.6580, 42.9061 
Train 102, 40.8467, 61.1993, 63.7502, 6.2919, 11.6541, 10.7244, 23.0323, 49.5452, 53.0258
Test 102, 28.3247, 55.0062, 53.3628, 6.0538, 11.3207, 10.5339, 22.2710, 43.6855, 42.8290 
Train 103, 37.5921, 59.6229, 65.0272, 6.1528, 11.7044, 11.1034, 20.9566, 47.9185, 53.9238
Test 103, 28.4011, 55.1562, 53.5103, 6.1587, 11.4443, 10.5713, 22.2424, 43.7119, 42.9391 
Train 104, 42.5486, 64.5203, 68.4318, 5.8263, 11.5417, 11.4309, 24.4782, 52.9786, 57.0009
Test 104, 28.0375, 54.7136, 53.3522, 5.8291, 11.1220, 10.5857, 22.2083, 43.5916, 42.7664 
Train 105, 48.0339, 63.9263, 59.9308, 5.8290, 11.5597, 11.4614, 28.1319, 52.3666, 48.4694
Test 105, 27.9601, 54.6854, 53.4506, 5.7234, 11.0167, 10.5865, 22.2367, 43.6688, 42.8641 
Train 106, 45.7351, 62.0392, 59.1966, 5.8653, 11.5659, 11.4012, 26.5755, 50.4732, 47.7954
Test 106, 28.0198, 54.7846, 53.5297, 5.7766, 11.0638, 10.5745, 22.2432, 43.7208, 42.9551 
Train 107, 42.6939, 59.5071, 58.0381, 6.0901, 11.4833, 10.7865, 24.3980, 48.0238, 47.2515
Test 107, 28.1279, 54.7985, 53.3413, 5.8548, 11.0925, 10.4755, 22.2731, 43.7060, 42.8658 
Train 108, 38.5852, 60.1018, 64.7588, 6.0045, 11.6334, 11.2577, 21.7179, 48.4684, 53.5010
Test 108, 28.0728, 54.7845, 53.4234, 5.7724, 10.9753, 10.4059, 22.3004, 43.8091, 43.0175 
Train 109, 44.3333, 61.6332, 60.2590, 5.8599, 11.4372, 11.1546, 25.6437, 50.1959, 49.1044
Test 109, 27.9174, 54.5905, 53.3464, 5.7095, 10.9400, 10.4609, 22.2078, 43.6506, 42.8854 
Train 110, 43.3811, 63.7055, 65.4115, 6.2496, 11.8338, 11.1684, 24.7502, 51.8717, 54.2431
Test 110, 28.2863, 54.9125, 53.2526, 6.0003, 11.2458, 10.4909, 22.2859, 43.6668, 42.7617 
Train 111, 41.3011, 60.8640, 62.7288, 5.9093, 11.6957, 11.5727, 23.5903, 49.1684, 51.1561
Test 111, 28.1543, 54.8272, 53.3457, 5.9019, 11.1533, 10.5028, 22.2524, 43.6738, 42.8430 
Train 112, 41.8797, 61.6273, 63.0992, 6.4827, 11.7807, 10.5960, 23.5949, 49.8466, 52.5032
Test 112, 28.3703, 54.9465, 53.1525, 6.0654, 11.3167, 10.5025, 22.3049, 43.6299, 42.6500 
Train 113, 41.2327, 58.6901, 58.3307, 6.1225, 11.6965, 11.1480, 23.4023, 46.9936, 47.1827
Test 113, 28.2587, 54.8577, 53.1980, 5.9296, 11.1721, 10.4849, 22.3291, 43.6856, 42.7131 
Train 114, 41.3824, 60.0054, 60.9551, 5.8283, 11.7009, 11.7452, 23.6995, 48.3044, 49.2099
Test 114, 28.0440, 54.5680, 53.0480, 5.8382, 11.1266, 10.5769, 22.2058, 43.4414, 42.4712 
Train 115, 40.9561, 61.9836, 65.5001, 5.8012, 11.4735, 11.3445, 23.4323, 50.5101, 54.1556
Test 115, 28.1495, 54.6857, 53.0724, 5.8685, 11.1023, 10.4675, 22.2810, 43.5834, 42.6048 
Train 116, 46.0865, 62.4153, 59.4521, 5.9057, 11.5751, 11.3387, 26.7835, 50.8402, 48.1134
Test 116, 28.1489, 54.6900, 53.0822, 5.8464, 11.0746, 10.4565, 22.3026, 43.6154, 42.6256 
Train 117, 37.9521, 62.1842, 69.7022, 6.1012, 11.7598, 11.3171, 21.2319, 50.4245, 58.3851
Test 117, 28.6305, 55.0388, 52.8166, 6.2391, 11.4395, 10.4009, 22.3914, 43.5993, 42.4157 
Train 118, 39.5956, 59.0204, 61.1077, 6.2221, 11.3827, 10.3213, 22.2444, 47.6377, 50.7865
Test 118, 28.4261, 54.8341, 52.8162, 6.0427, 11.2599, 10.4345, 22.3834, 43.5742, 42.3817 
Train 119, 42.0425, 62.4382, 64.9286, 5.8492, 11.5008, 11.3033, 24.1247, 50.9374, 53.6254
Test 119, 28.0984, 54.4533, 52.7097, 5.8290, 11.0832, 10.5083, 22.2694, 43.3701, 42.2014 
Train 120, 43.1035, 61.4597, 61.4406, 6.0219, 11.5566, 11.0694, 24.7174, 49.9030, 50.3712
Test 120, 27.8323, 54.2283, 52.7920, 5.6168, 10.8459, 10.4582, 22.2155, 43.3824, 42.3337 
Train 121, 43.0724, 60.9106, 60.3809, 6.0244, 11.6155, 11.1822, 24.6957, 49.2951, 49.1987
Test 121, 28.0711, 54.5569, 52.9716, 5.7915, 11.0025, 10.4220, 22.2797, 43.5545, 42.5496 
Train 122, 44.9583, 62.6767, 61.5926, 5.7421, 11.3531, 11.2220, 26.1383, 51.3236, 50.3706
Test 122, 28.1188, 54.6122, 52.9867, 5.8678, 11.0971, 10.4587, 22.2510, 43.5151, 42.5281 
Train 123, 39.1400, 57.3273, 58.3368, 6.2072, 11.4673, 10.5201, 21.9517, 45.8600, 47.8167
Test 123, 28.1680, 54.5875, 52.8390, 5.9220, 11.1472, 10.4505, 22.2461, 43.4403, 42.3885 
Train 124, 41.7435, 63.1997, 66.8412, 5.8632, 11.3526, 10.9788, 23.9159, 51.8471, 55.8625
Test 124, 27.8988, 54.1818, 52.5659, 5.6706, 10.8618, 10.3823, 22.2282, 43.3200, 42.1835 
Train 125, 46.6744, 63.0379, 59.8488, 6.0073, 11.3784, 10.7424, 27.1063, 51.6595, 49.1065
Test 125, 28.4351, 54.7976, 52.7250, 6.1042, 11.3149, 10.4214, 22.3309, 43.4827, 42.3036 
Train 126, 41.3598, 60.6693, 62.2785, 5.8836, 11.4824, 11.1976, 23.6465, 49.1869, 51.0808
Test 126, 28.0735, 54.5078, 52.8686, 5.8238, 11.0650, 10.4823, 22.2497, 43.4429, 42.3862 
Train 127, 40.1923, 59.0184, 60.6667, 5.6854, 11.3474, 11.3239, 22.9996, 47.6710, 49.3428
Test 127, 27.8147, 54.1594, 52.6894, 5.6235, 10.8819, 10.5167, 22.1912, 43.2775, 42.1727 
Train 128, 49.0573, 63.2151, 57.2808, 5.6271, 11.0952, 10.9363, 28.9476, 52.1199, 46.3445
Test 128, 27.9207, 54.2930, 52.7446, 5.6681, 10.9119, 10.4876, 22.2526, 43.3811, 42.2570 
Train 129, 42.1521, 63.2839, 66.3612, 6.0173, 11.3922, 10.7499, 24.0860, 51.8917, 55.6114
Test 129, 28.0948, 54.4916, 52.7935, 5.8112, 11.0457, 10.4689, 22.2836, 43.4459, 42.3246 
Train 130, 42.2384, 61.3767, 62.3276, 6.1766, 11.3653, 10.3773, 24.0363, 50.0114, 51.9502
Test 130, 28.2514, 54.6470, 52.7910, 5.9367, 11.1758, 10.4783, 22.3148, 43.4711, 42.3127 
Train 131, 42.1121, 57.9418, 55.7140, 6.0429, 11.2587, 10.4317, 24.0419, 46.6831, 45.2823
Test 131, 28.2677, 54.7057, 52.8761, 5.9077, 11.1477, 10.4800, 22.3600, 43.5580, 42.3961 
Train 132, 42.4104, 59.9216, 59.3221, 5.9775, 11.6074, 11.2599, 24.2830, 48.3141, 48.0622
Test 132, 28.6528, 55.1589, 53.0122, 6.2742, 11.5225, 10.4965, 22.3786, 43.6364, 42.5157 
Train 133, 39.1865, 56.7200, 57.0451, 6.2300, 11.7878, 11.1155, 21.9674, 44.9322, 45.9297
