Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 39, 38.6585, 53.6851, 53.5298, 6.2321, 12.4600, 12.4559, 20.6881, 41.2250, 41.0738
Test 39, 27.6920, 54.4639, 53.5440, 6.5143, 12.7144, 12.4002, 21.1777, 41.7496, 41.1438 
Train 40, 38.6171, 53.5733, 53.3735, 6.2039, 12.3814, 12.3549, 20.6826, 41.1919, 41.0186
Test 40, 27.6844, 54.3507, 53.3324, 6.5002, 12.6699, 12.3393, 21.1842, 41.6808, 40.9932 
Train 41, 38.5439, 53.4349, 53.2168, 6.1615, 12.3101, 12.2971, 20.6650, 41.1249, 40.9197
Test 41, 27.6536, 54.3817, 53.4563, 6.4952, 12.6428, 12.2952, 21.1583, 41.7389, 41.1612 
Train 42, 38.4393, 53.3454, 53.1907, 6.1300, 12.2412, 12.2225, 20.6200, 41.1041, 40.9682
Test 42, 27.5636, 54.2103, 53.2935, 6.4885, 12.5861, 12.1952, 21.0750, 41.6242, 41.0984 
Train 43, 38.3985, 53.2706, 53.1169, 6.0909, 12.1688, 12.1558, 20.6212, 41.1017, 40.9611
Test 43, 27.5898, 54.1640, 53.1483, 6.4550, 12.5352, 12.1605, 21.1348, 41.6287, 40.9878 
Train 44, 38.3257, 53.1483, 52.9839, 6.0606, 12.1073, 12.0934, 20.5958, 41.0410, 40.8905
Test 44, 27.5982, 54.0435, 52.8906, 6.4377, 12.4670, 12.0584, 21.1605, 41.5766, 40.8322 
Train 45, 38.2712, 53.0425, 52.8574, 6.0317, 12.0479, 12.0325, 20.5821, 40.9945, 40.8249
Test 45, 27.4107, 53.9004, 52.9794, 6.3378, 12.3448, 12.0138, 21.0729, 41.5557, 40.9655 
Train 46, 38.2254, 52.9336, 52.7178, 5.9969, 11.9930, 11.9921, 20.5778, 40.9407, 40.7257
Test 46, 27.4569, 53.8888, 52.8637, 6.3939, 12.3865, 11.9853, 21.0630, 41.5023, 40.8785 
Train 47, 38.1285, 52.8606, 52.7098, 5.9724, 11.9244, 11.9039, 20.5333, 40.9362, 40.8058
Test 47, 27.3061, 53.6699, 52.7276, 6.2673, 12.2038, 11.8729, 21.0387, 41.4661, 40.8547 
Train 48, 38.1054, 52.7648, 52.5569, 5.9532, 11.8838, 11.8610, 20.5331, 40.8811, 40.6959
Test 48, 27.2913, 53.6991, 52.8156, 6.2486, 12.1659, 11.8346, 21.0427, 41.5332, 40.9809 
Train 49, 38.0427, 52.6718, 52.4701, 5.9197, 11.8219, 11.8043, 20.5170, 40.8499, 40.6657
Test 49, 27.2067, 53.4498, 52.4862, 6.1761, 12.0667, 11.7811, 21.0306, 41.3831, 40.7051 
Train 50, 38.0080, 52.6228, 52.4275, 5.8993, 11.7870, 11.7753, 20.5097, 40.8358, 40.6522
Test 50, 27.2113, 53.4255, 52.4283, 6.1971, 12.0765, 11.7587, 21.0142, 41.3490, 40.6695 
Train 51, 37.9558, 52.5279, 52.3164, 5.8750, 11.7296, 11.7093, 20.4947, 40.7983, 40.6071
Test 51, 27.2837, 53.5082, 52.4490, 6.2461, 12.0922, 11.6923, 21.0376, 41.4160, 40.7568 
Train 52, 37.8899, 52.4533, 52.2613, 5.8559, 11.6723, 11.6328, 20.4667, 40.7809, 40.6285
Test 52, 27.1680, 53.3295, 52.3231, 6.1574, 11.9751, 11.6353, 21.0106, 41.3545, 40.6878 
Train 53, 37.8780, 52.3777, 52.1369, 5.8328, 11.6327, 11.5996, 20.4764, 40.7450, 40.5373
Test 53, 27.2198, 53.3639, 52.2881, 6.1936, 12.0019, 11.6165, 21.0262, 41.3620, 40.6715 
Train 54, 37.7977, 52.3308, 52.1594, 5.8082, 11.5832, 11.5501, 20.4429, 40.7476, 40.6093
Test 54, 27.0690, 53.2865, 52.4351, 6.0739, 11.8408, 11.5338, 20.9951, 41.4457, 40.9012 
Train 55, 37.7304, 52.2841, 52.1640, 5.7865, 11.5533, 11.5336, 20.4156, 40.7308, 40.6304
Test 55, 27.1479, 53.2515, 52.2072, 6.1562, 11.9384, 11.5643, 20.9917, 41.3132, 40.6429 
Train 56, 37.7200, 52.1989, 52.0094, 5.7731, 11.5188, 11.4913, 20.4210, 40.6801, 40.5181
Test 56, 27.0695, 53.1085, 52.0780, 6.0787, 11.8107, 11.4641, 20.9908, 41.2978, 40.6139 
Train 57, 37.6961, 52.1410, 51.9342, 5.7532, 11.4736, 11.4409, 20.4207, 40.6674, 40.4933
Test 57, 27.0702, 53.0897, 52.0392, 6.0379, 11.7611, 11.4464, 21.0322, 41.3286, 40.5928 
Train 58, 37.6437, 52.0762, 51.8782, 5.7370, 11.4295, 11.3851, 20.4001, 40.6466, 40.4931
Test 58, 27.0928, 53.1086, 52.0316, 6.1497, 11.8248, 11.3504, 20.9432, 41.2838, 40.6812 
Train 59, 37.5709, 52.0206, 51.8704, 5.7179, 11.3930, 11.3501, 20.3675, 40.6277, 40.5202
Test 59, 26.9847, 52.9450, 51.9206, 6.0397, 11.7120, 11.3447, 20.9450, 41.2330, 40.5759 
Train 60, 37.5533, 51.9689, 51.7971, 5.7006, 11.3735, 11.3457, 20.3697, 40.5955, 40.4514
Test 60, 26.8811, 52.8218, 51.8814, 5.9586, 11.6581, 11.3990, 20.9225, 41.1637, 40.4824 
Train 61, 37.5527, 51.9444, 51.7494, 5.6907, 11.3689, 11.3564, 20.3791, 40.5755, 40.3929
