Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 188, 35.8597, 49.7087, 49.5472, 5.0962, 10.1502, 10.1079, 19.8389, 39.5585, 39.4392
Test 188, 26.0236, 50.8989, 49.7505, 5.3362, 10.3718, 10.0712, 20.6874, 40.5271, 39.6793 
Train 189, 35.8452, 49.7136, 49.5786, 5.0906, 10.1407, 10.1002, 19.8337, 39.5729, 39.4785
Test 189, 26.0533, 50.9458, 49.7851, 5.3615, 10.4437, 10.1645, 20.6918, 40.5020, 39.6206 
Train 190, 35.8373, 49.7048, 49.5691, 5.0900, 10.1487, 10.1174, 19.8302, 39.5561, 39.4517
Test 190, 26.0333, 50.9046, 49.7427, 5.3822, 10.4637, 10.1629, 20.6510, 40.4410, 39.5798 
Train 191, 35.8363, 49.7097, 49.5806, 5.0902, 10.1403, 10.1001, 19.8293, 39.5695, 39.4804
Test 191, 26.1159, 51.0136, 49.7955, 5.4355, 10.4710, 10.0709, 20.6804, 40.5427, 39.7246 
Train 192, 35.8150, 49.6852, 49.5600, 5.0873, 10.1326, 10.0906, 19.8179, 39.5526, 39.4694
Test 192, 26.0947, 51.0802, 49.9709, 5.4097, 10.4632, 10.1069, 20.6850, 40.6169, 39.8640 
Train 193, 35.7945, 49.7252, 49.6656, 5.0875, 10.1443, 10.1135, 19.8048, 39.5809, 39.5521
Test 193, 26.0866, 50.9339, 49.6946, 5.4099, 10.4566, 10.0936, 20.6768, 40.4773, 39.6010 
Train 194, 35.7984, 49.6642, 49.5396, 5.0837, 10.1324, 10.0974, 19.8107, 39.5318, 39.4421
Test 194, 26.0486, 50.8857, 49.6741, 5.4124, 10.4558, 10.0867, 20.6362, 40.4299, 39.5874 
Train 195, 35.8047, 49.6679, 49.5357, 5.0855, 10.1228, 10.0746, 19.8145, 39.5450, 39.4610
Test 195, 26.0204, 50.8881, 49.7355, 5.3554, 10.4143, 10.1177, 20.6650, 40.4738, 39.6177 
Train 196, 35.7990, 49.6773, 49.5634, 5.0839, 10.1297, 10.0916, 19.8117, 39.5476, 39.4718
Test 196, 25.9553, 50.7580, 49.6054, 5.3194, 10.3701, 10.1015, 20.6359, 40.3879, 39.5039 
Train 197, 35.7900, 49.6698, 49.5586, 5.0845, 10.1429, 10.1170, 19.8061, 39.5269, 39.4416
Test 197, 26.0533, 50.9328, 49.7589, 5.3875, 10.4381, 10.1012, 20.6658, 40.4947, 39.6577 
Train 198, 35.8014, 49.6670, 49.5363, 5.0847, 10.1167, 10.0639, 19.8141, 39.5503, 39.4724
Test 198, 26.1221, 50.9385, 49.6327, 5.4492, 10.4874, 10.0765, 20.6730, 40.4510, 39.5561 
Train 199, 35.7628, 49.6571, 49.5692, 5.0804, 10.1177, 10.0745, 19.7920, 39.5394, 39.4947
Test 199, 26.0489, 50.9828, 49.8680, 5.3689, 10.4430, 10.1483, 20.6800, 40.5398, 39.7197 
Train 200, 35.7897, 49.6570, 49.5324, 5.0804, 10.1257, 10.0906, 19.8104, 39.5313, 39.4418
Test 200, 26.0499, 50.8750, 49.6503, 5.3896, 10.4783, 10.1773, 20.6602, 40.3968, 39.4730 
