Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 174, 36.0231, 49.9613, 49.8703, 5.4437, 10.8634, 10.8395, 19.5825, 39.0979, 39.0308
Test 174, 26.5295, 51.4531, 49.8471, 5.9066, 11.3421, 10.8709, 20.6229, 40.1110, 38.9762 
Train 175, 36.0262, 49.9090, 49.7640, 5.4420, 10.8415, 10.7990, 19.5850, 39.0675, 38.9650
Test 175, 26.3775, 51.3143, 49.8737, 5.7853, 11.2066, 10.8425, 20.5921, 40.1078, 39.0313 
Train 176, 36.0600, 49.8945, 49.6936, 5.4379, 10.8442, 10.8125, 19.6098, 39.0503, 38.8811
Test 176, 26.3630, 51.3167, 49.9074, 5.8075, 11.2280, 10.8410, 20.5555, 40.0887, 39.0665 
Train 177, 36.0199, 49.8921, 49.7381, 5.4409, 10.8374, 10.7929, 19.5821, 39.0547, 38.9452
Test 177, 26.3682, 51.3596, 49.9827, 5.8283, 11.2600, 10.8635, 20.5399, 40.0996, 39.1192 
Train 178, 36.0468, 49.8749, 49.6780, 5.4276, 10.8249, 10.7946, 19.6082, 39.0500, 38.8835
Test 178, 26.1967, 51.1395, 49.8856, 5.6333, 11.0836, 10.9007, 20.5634, 40.0559, 38.9849 
Train 179, 36.0089, 49.8871, 49.7464, 5.4364, 10.8462, 10.8196, 19.5775, 39.0409, 38.9268
Test 179, 26.2868, 51.2145, 49.8554, 5.6623, 11.0624, 10.8002, 20.6245, 40.1521, 39.0551 
Train 180, 35.9921, 49.8615, 49.7261, 5.4235, 10.8141, 10.7814, 19.5750, 39.0474, 38.9448
Test 180, 26.2583, 51.2223, 49.9278, 5.6863, 11.0928, 10.8129, 20.5720, 40.1295, 39.1150 
Train 181, 35.9687, 49.8481, 49.7334, 5.4198, 10.8185, 10.7973, 19.5616, 39.0296, 38.9361
Test 181, 26.3700, 51.3351, 49.9302, 5.8129, 11.1978, 10.7699, 20.5571, 40.1373, 39.1603 
Train 182, 35.9997, 49.8399, 49.6766, 5.4216, 10.8096, 10.7760, 19.5800, 39.0303, 38.9006
Test 182, 26.2947, 51.3152, 50.0410, 5.7460, 11.1622, 10.8324, 20.5487, 40.1530, 39.2085 
Train 183, 35.9961, 49.8780, 49.7538, 5.4240, 10.8211, 10.7942, 19.5771, 39.0569, 38.9596
Test 183, 26.2969, 51.2895, 49.9851, 5.7021, 11.1046, 10.8050, 20.5948, 40.1849, 39.1801 
Train 184, 35.9942, 49.8348, 49.6706, 5.4239, 10.8091, 10.7704, 19.5756, 39.0257, 38.9002
Test 184, 26.2272, 51.1568, 49.8591, 5.7172, 11.1044, 10.7743, 20.5101, 40.0524, 39.0848 
